n,k,dim,rank,N,mu_min
265,2,30877,1689,3184,0.5122283836
266,2,31126,1693,3196,0.4726377981
267,2,31376,1697,3208,0.0004948487
268,2,31879,1701,3220,0.0015149781
269,2,32132,1706,3232,0.5827215581
270,2,32641,1709,3244,0.6906557250
271,2,32897,1714,3256,0.6567630162
272,2,32897,1717,3268,0.5321999711
273,2,33154,1721,3280,0.3730946652
274,2,33154,1728,3292,0.2526461609
275,2,33154,1732,3304,0.5727319008
276,2,33412,1734,3316,0.5023084854
277,2,33671,1738,3328,0.4342920004
278,2,34192,1741,3340,0.0008021263
279,2,34192,1749,3352,0.0591356115
280,2,34192,1751,3364,0.0769761954
281,2,34192,1756,3376,0.5661072422
282,2,34454,1761,3388,0.0006368067
283,2,34981,1767,3400,0.5561776211
284,2,34981,1766,3412,0.4738177914
285,2,35246,1773,3424,0.1007455043
286,2,35246,1775,3436,0.1263364826
287,2,35779,1784,3448,0.6485059993
288,2,35779,1786,3460,0.1494863803
289,2,36047,1790,3472,0.5994489152
290,2,36316,1794,3484,0.0007032995
291,2,36586,1798,3496,0.1226375742
