n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
32  | 0.810      | 2.58388487e+11 | 2.61901795e+11 | 1.0136         | False
33  | 0.680      | 1.32315435e+10 | 1.37107413e+10 | 1.0362         | False
34  | 0.710      | 2.75882602e+10 | 9.18666965e+09 | 0.3330         | True
35  | 0.820      | 8.63550590e+10 | 6.51288671e+10 | 0.7542         | True
36  | 0.840      | 3.75821812e+11 | 3.83093179e+11 | 1.0193         | False
37  | 0.570      | 1.92483592e+09 | 1.56774884e+09 | 0.8145         | True
38  | 0.090      | 4325.4725      | 5658.3149      | 1.3081         | False
39  | 0.180      | 185669.2015    | 175928.4818    | 0.9475         | True
40  | 0.700      | 5.19997043e+10 | 4.89461295e+10 | 0.9413         | True
41  | 0.530      | 2.34016336e+09 | 2.00046957e+09 | 0.8548         | True
42  | 0.650      | 5.53511606e+10 | 5.04214141e+10 | 0.9109         | True
43  | 0.650      | 5.39456297e+10 | 5.19558142e+10 | 0.9631         | True
44  | 0.890      | 2.62917133e+12 | 6.29811880e+11 | 0.2395         | True
45  | 0.750      | 3.40640014e+11 | 2.98678168e+11 | 0.8768         | True
46  | 0.360      | 9.42972213e+07 | 8.40033537e+07 | 0.8908         | True
47  | 0.080      | 4116.2290      | 5491.9922      | 1.3342         | False
48  | 0.590      | 4.20491393e+10 | 1.57614262e+10 | 0.3748         | True
49  | 0.720      | 6.20077088e+11 | 6.43386747e+11 | 1.0376         | False
50  | 0.700      | 9.03786991e+10 | 1.02160381e+11 | 1.1304         | False
51  | 0.560      | 1.65182834e+10 | 1.74939789e+10 | 1.0591         | False
52  | 0.720      | 3.54433602e+11 | 2.99403158e+11 | 0.8447         | True
53  | 0.330      | 5.47102069e+07 | 5.49241718e+07 | 1.0039         | False
54  | 0.410      | 1.17596442e+09 | 1.45072251e+09 | 1.2336         | False
55  | 0.580      | 3.17745211e+10 | 2.10805664e+10 | 0.6634         | True
56  | 0.670      | 4.29254762e+11 | 4.82752981e+11 | 1.1246         | False
57  | 0.610      | 1.89882479e+11 | 1.00604371e+11 | 0.5298         | True
58  | 0.850      | 6.54942980e+12 | 7.54432182e+12 | 1.1519         | False
59  | 0.720      | 5.03084380e+11 | 5.03218030e+11 | 1.0003         | False
60  | 0.500      | 1.51369222e+10 | 1.05424097e+10 | 0.6965         | True
61  | 0.550      | 2.54131525e+10 | 2.14512866e+10 | 0.8441         | True
62  | 0.510      | 1.23450115e+10 | 1.62192169e+10 | 1.3138         | False
63  | 0.720      | 7.45972533e+11 | 8.18166874e+11 | 1.0968         | False
64  | 0.550      | 3.00067325e+10 | 2.99181338e+10 | 0.9970         | True
65  | 0.540      | 2.42987991e+10 | 1.86681026e+10 | 0.7683         | True
66  | 0.580      | 1.31272205e+11 | 1.62855643e+11 | 1.2406         | False
67  | 0.580      | 1.16937982e+11 | 9.48869183e+10 | 0.8114         | True
68  | 0.850      | 6.70861244e+12 | 2.77562724e+12 | 0.4137         | True
69  | 0.590      | 8.75474485e+10 | 9.38824883e+10 | 1.0724         | False
70  | 0.100      | 23661.3863     | 34904.3432     | 1.4752         | False
71  | 0.360      | 2.64322248e+08 | 3.05423655e+08 | 1.1555         | False
72  | 0.570      | 4.59749550e+10 | 5.22918518e+10 | 1.1374         | False
73  | 0.360      | 3.96585929e+08 | 4.97807856e+08 | 1.2552         | False
74  | 0.420      | 5.77459227e+09 | 5.02036594e+09 | 0.8694         | True
75  | 1.120      | 1.06401021e+15 | 1.46841245e+14 | 0.1380         | True
76  | 0.520      | 2.49238182e+10 | 2.34295333e+10 | 0.9400         | True
77  | 0.300      | 8.94367582e+07 | 1.24107630e+08 | 1.3877         | False
78  | 0.090      | 18414.1009     | 29010.2717     | 1.5754         | False
79  | 0.390      | 9.13499459e+08 | 1.06128203e+09 | 1.1618         | False
80  | 0.400      | 2.34479616e+09 | 2.19573431e+09 | 0.9364         | True
